name;category;brand;price;article;description
Якорная цепь Maxwell оцинкованная (в наборе);Якоря;Maxwell;26 190 руб.;SP4460;Профессиональная якорная цепь Maxwell из оцинкованной стали DIN 766 различного диаметра для яхт и катеров от 4 до 24 метров в типовых наборах по длине. Судам до 10 метров подойдёт цепь калибром 6 или 8 мм. Цепь прижимает веретено якоря к грунту, в то же время отлично амортизирует при волнениях и поглощает рывки судна. Аналог Exalto.
Якорная скоба типа D 10 мм из 316 морской нержавеющей стали;Якоря;Бренд не указан;1 167 руб.;1286;Такелажная скоба (серьга) изготовлена из морской нержавеющей стали. Успешно эксплуатируется даже в солёной воде. Прочно соединяет якорь и вертлюг. Применяется с вертлюгами размером 10-13 мм.
Высококачественная якорная скоба KONG из 316 морской нержавеющей стали;Якоря;Бренд не указан;7 129 руб.;77320006;Такелажная скоба, специальной сложной конструкции. Выполнена из высококачественной нержавеющей стали, что позволяет успешно ее эксплуатировать даже в солёной воде. Великолепно справляется со своей работой. Она практически вечна.
Якорная цепь Maxwell из 316 морской нержавеющей стали (за 1 м.);Якоря;Maxwell;2 886 руб.;SP4471;Цепь, изготовленная из 316 морской нержавеющей стали, отлично подходит для применения и в пресной, и в солёной воде. Стильный дизайн и высокая практичность выгодно выделяют эту цепь из линейки других якорных цепей. Калибр цепи может варьироваться от 6 до 13 мм. Аналог Combi Noord.
Якорная комбинация цепь/трос фирмы Maxwell;Якоря;Maxwell;27 205 руб.;SP4603;Фабрично-сделанная цепь-тросовая комбинация из оцинкованной якорной цепи и 8-ми пряного нейлонового якорного троса от известного бренда Maxwell. Цепь прижимает веретено якоря к грунту, в то же время трос отлично амортизирует при волнениях и поглощает рывки судна. 8-ми прядные нейлоновые якорные тросы высоко устойчивы к влаге, прочны и эластичны. Судам до 10 метров подойдёт цепь калибром 6 или 8 мм. Аналог Quick.
Якорная звено из 316 морской нержавеющей стали;Якоря;Бренд не указан;1 638 руб.;77318006;Это звено выполнено из 316 морской нержавеющей стали. Диаметр варьируется от 6 до 10 мм.
Якорь плавучий Squidy;Якоря;Бренд не указан;7 665 руб.;77251070;Плавучий якорь, выполненный из прочного и плотного нейлона с добавлением ПВХ. Отверстие усилено нейлоновой лентой. Эта прочная конструкция выручит Вас во время шторма или сплавления по реке. Якорь прослужит долгие годы. Возможен выбор размеров под разные типы и длины судна. Только лучшие товары для Вас и Вашей яхты по самой выгодной цене.
Якорь плавучий нейлоновый;Якоря;Бренд не указан;17 403 руб.;77251050;Плавучий нейлоновый якорь, или парашют, стабилизирует ход судна. Он менее устойчив, чем обычный якорь, но более прост и быстр в применении: достаточно лишь бросить его на канате за борт - и лодку меньше сносит.
Якорь Матросова из 316 морской нержавеющей стали;Якоря;Бренд не указан;85 995 руб.;CN02005;Якорь повышенной держащей силы, прекрасно подходящий для использования в солёной воде. Имеет литую конструкцию, сближенные лапы, приливы на внешних кромках лап с фланцами на концах. Надёжен, устойчив, безопасен. Зарывшись в грунт, якорь не выходит из него даже при развороте судна на 360 градусов. Оптимален для слабого песчано-илистого и твёрдого мелкокаменистого грунта.
Якорь-кошка типа крюк;Якоря;Бренд не указан;21 924 руб.;77218001;Классическая форма и простое использование. Кошка - это надёжность проверенная временем. А, что ещё нужно от якоря на малогабаритном судне? Выбор веса якоря варьируется от 1 до 2 кг. Выполнен из высокопрочной стали. Применяется в том числе для траления и поиска сетей.
Якорный роульс Maxwell подвижный из 316 морской нержавеющей стали;Якоря;Maxwell;40 372 руб.;P104330;Качающийся якорный роульс для надёжной фиксации якорных цепей и комбинаций цепь+трос. Оптимален для использования с цепями калибром до 13 мм. Представлен в двух размерах - длиной 320 или 430 мм и шириной 92 или 160 мм.
Якорный роульс Maxwell MAXSET из 316 морской нержавеющей стали;Якоря;Maxwell;30 965 руб.;P105074;Фиксированный носовой роульс предназначен только для использования с якорями типа «Плуг» от Maxwell MAXSET. Надёжный, прочный и незаменимый на лодке, чей владелец выбрал стальной гальванизированный или нержавеющий якорь повышенной держащей силы. Подходит судам длиной от 4 до 17 метров. Конструкция носовых роульсов гарантирует, что якоря надёжно фиксируются и не стучат во время движения судна.
Osculati 01.099.05 - Чехол якорный Fortress 1016 мм;Oскулати;Osculati;10 460 руб.;OS-01.099.05;Чехол якорный Fortress длиной 1016 мм (артикул 01.099.05) от компании Osculati предназначен для надежной защиты якорей длиной 1016 мм от неблагоприятных внешних факторов. Изготовленный из прочного и коррозионно стойкого материала, этот чехол обеспечивает эффективную защиту якоря от влаги, соли и ультрафиолетовых лучей, что способствует значительному продлению его срока службы. Чехол легко надевается и надежно фиксируется, предотвращая механические повреждения и загрязнения якоря. Это идеальный аксессуар для владельцев яхт и лодок, которые хотят обеспечить долговечность и надежность своего оборудования, сохраняя его в отличном состоянии даже при интенсивном использовании.
Якорь Rocna Vulcan оцинкованный;Якоря;Rocna;78 424 руб.;77106070;Благодаря своей измененной форме Якорь Vulcan  он еще лучше подходит для современных судов, обладая высокой удерживающей способностью. Инновационный конец «roll-palm ™ (A)» обеспечивает погружение под прямым углом. Оно поддерживается «V-bulb ™ (B»). ), который обеспечивает правильный балласт анкерного лезвия для максимальной эффективности.
Якорная цепь Exalto из 316 морской нержавеющей стали (в наборе);Якоря;Бренд не указан;66 723 руб.;1201.025;Наборы якорных цепей Exalto из 316 морской нержавеющей стали, невосприимчивой к соленой воде. Которая всегда будет выглядеть на все сто, не проржавеет и не повредит якорную лебедку. Формат цепи DIN 766 для европейских лебедок. Отличное качество.
Якорный вертлюг KONG из 316 морской нержавеющей стали;Якоря;Бренд не указан;23 940 руб.;77318106;Особо прочный вертлюг итальянского производителя KONG. Предотвращает скручивание верёвки во время изменения нагрузки. Оснащён шариковым подшипником и обладает высокой прочностью на растяжение.
Якорь Talamex French Anchor;Якоря;Бренд не указан;5 864 руб.;77105001;Французский анкер Talamex изготовлен из стали и горячим способом оцинкован. Он особенно эффективен при сильном быстром течении и обладает высокой удерживающей способностью. Этот якорь подходит для использования на любых грунтах благодаря прочной сварной конструкции. Приобретая данный якорь, вы получаете надежное средство для швартовки вашего судна в любых условиях.
Якорь Плуг Exalto из 316 морской нержавеющей стали;Якоря;Бренд не указан;43 067 руб.;123206;Якорь изготовлен из полированной 316 морской нержавеющей стали. Прекрасно подходит для применения в солёной воде. Держащая сила - от 13,5 до 18,0 кг на каждый килограмм веса якоря.
Osculati 01.081.06 - Скоба якорная подковообразная с потайным пальцем, внутренний шестигранник 6 мм;Oскулати;Бренд не указан;244 руб.;OS-01.081.06;Скоба якорная подковообразная Osculati 01.081.06 изготовлена из нержавеющей стали AISI 316, что обеспечивает ей превосходную прочность и стойкость к коррозии, идеальную для морских условий. Эта скоба предназначена для использования с внутренним шестигранником диаметром 6 мм, что позволяет надежно крепить якорь и обеспечивает его свободное движение в роликах без запутывания. С размерами ширина 12 мм и длина 27 мм, она обеспечивает прочное и долговечное крепление, предотвращая любые проблемы с запутыванием якоря. Такой подход делает её отличным выбором для яхт и других водных транспортных средств, гарантируя надежность и эффективность в эксплуатации.
Osculati 01.081.14 - Скоба якорная подковообразная с потайным пальцем, внутренний шестигранник 14 мм;Oскулати;Бренд не указан;1 527 руб.;OS-01.081.14;Скоба якорная подковообразная Osculati 01.081.14 изготовлена из нержавеющей стали AISI 316, что обеспечивает её отличную прочность и стойкость к коррозии, делая её идеальной для использования в морских условиях. Скоба предназначена для внутреннего шестигранника диаметром 14 мм, что гарантирует надежное крепление якоря и предотвращает его запутывание при перемещении в роликах. С размерами ширина 28 мм и длина 60 мм, эта скоба обеспечивает долговечность и надежность, способствуя эффективному использованию якоря на яхтах и других водных транспортных средствах.
Якорный вертлюг Maxwell из 316 морской нержавеющей стали;Якоря;Maxwell;5 202 руб.;P104370;Прочный вертлюг для соединения якоря с цепью на небольших судах длиной до 20 метров. Представлен в двух размерах: 6-8 мм и 10-13 мм. Применяется как в пресной, так и в солёной воде. Хорошо держит нагрузку, облегчая подъем якоря и помогая цепи или тросу аккуратнее ложиться в цепном ящике. Свободно проходит через носовой роульс.
Якорная комбинация трос/цепь фирмы QUICK;Якоря;Quick;72 235 руб.;QALSS-11;Якорный трос в комбинации с цепью предназначен для надёжного соединения якоря и судна. Крепление цепи и якорного троса обеспечивается изогнутыми скобами, D-скобами или расколами. Зачастую крепление затрудняет шкив троса якоря. Крепление в системе Quick Slim Splice имеет меньшие габариты в сравнении со стандартными системами, благодаря чему контакта между тросом и шкивом не происходит. Гальванизированная калиброванная цепь DIN766 и 3-ниточный якорный трос из полиэстера высшего качества
Osculati 01.018.04 - Шарнир из нержавеющей стали AISI 316 с двойным проушинами 4 мм (5 шт.);Oскулати;Osculati;1 729 руб.;OS-01.018.04;Osculati 01.018.04 — это высококачественный шарнир из нержавеющей стали AISI 316 с двойными проушинами, предназначенный для использования в морских условиях. Этот шарнир, с диаметром 4 мм и общей длиной 50 мм, обладает высокой прочностью и стойкостью к коррозии, что делает его идеальным для крепления швартовочных линий. Внутренняя длина проушин составляет 13 мм, а ширина самого шарнира — 19,5 мм, что обеспечивает надежное соединение и легкость в эксплуатации. Внутренний размер проушин равен 11,5 мм, что позволяет использовать его с различными типами крепежных элементов. Шарнир поставляется в упаковке по 5 штук, что удобно для различных применений на лодках и яхтах.
Якорь Плуг Talamex;Якоря;Бренд не указан;27 363 руб.;77136015;Якорь плуг Talamex доступен в различных весах и могут использоваться для лодок длиной до 13 метров. Эти якоря оцинкованные и подходят для менее экстремальных условий. Лучшее предложение для Вас и Вашего судна.
Osculati 01.018.08 - Шарнир из нержавеющей стали AISI 316 с двойным проушинами 8 мм;Oскулати;Osculati;623 руб.;OS-01.018.08;Шарнир Osculati 01.018.08 изготовлен из высококачественной нержавеющей стали AISI 316, что обеспечивает ему превосходную прочность и стойкость к коррозии, что особенно важно для эксплуатации в морских условиях. Этот шарнир с двойными проушинами диаметром 8 мм идеально подходит для использования в качестве крепежного элемента для швартовочных линий и других крепежных задач. Его общая длина составляет 90 мм, длина проушины — 22 мм, ширина — 35 мм, а ширина проушины — 20 мм. Прочные и надежные материалы гарантируют долговечность и стабильность работы, что делает данный шарнир отличным выбором для яхт и других водных транспортных средств.
Якорь Fortress алюминиевый;Якоря;Fortress;89 166 руб.;77128018;Якорь из уникального устойчивого к коррозии сплава алюминия и магния. По сравнению с другими стальными якорями его острые лапы в разы быстрее вгрызаются в грунт, а вес вдвое меньше. Вы сами определяете угол атаки Fortress в 32° или 45° исходя из поверхности дна. Якорь имеет пожизненную гарантию производителя.
Якорная цепь Talamex оцинкованная (в наборе);Якоря;Бренд не указан;Под заказ;7102204;Метрическая цепь Цепь Talamex по размерам DIN 766, оцинкованная, высокого качества. Специальные длины возможны на заказ. 6 и 8 мм поставляются в пластиковых бабинах. Цены указаны за метр. Возможен выбор размеров.
Якорный трос Talamex (за 1 м.);Якоря;Бренд не указан;1 234 руб.;00475010;Высокопрочный 8-ми прядный нейлоновый якорный трос от компании Talamex. Длина якорного троса рассчитывается от 3 до 7 глубин под килем (при глубине менее 10 метров) в зависимости от силы ветра. Также данный трос подойдет в качестве швартового и в комбинации с якорной цепью.
Osculati 01.106.00 - Анкерный плетеный трос из полиэстера 8 мм x 30 м;Oскулати;Бренд не указан;1 376 руб.;OS-01.106.00;Анкерный плетеный трос Osculati 01.106.00 диаметром 8 мм и длиной 30 метров представляет собой надежное решение для крепления якоря на вашем судне. Изготовленный из прочного полиэстера, этот трос соответствует всем современным стандартам для якорных канатов, обеспечивая высокую прочность и стойкость к воздействию воды и ультрафиолетового излучения. Плетеная структура троса обеспечивает его гибкость и долговечность, что способствует легкости в использовании и надежному удержанию судна на месте в любых морских условиях. Этот трос идеально подходит для различных типов судов, обеспечивая надежное крепление якоря и гарантируя безопасное пребывание на воде.
Osculati 01.099.03 - Чехол якорный Fortress 787 мм;Oскулати;Бренд не указан;7 755 руб.;OS-01.099.03;Чехол якорный Fortress длиной 787 мм (артикул 01.099.03) от компании Osculati представляет собой идеальное решение для защиты якорей, длиной 787 мм, от неблагоприятных условий эксплуатации. Изготовленный из высококачественного, прочного и устойчивого к коррозии материала, этот чехол обеспечивает надежную защиту от влаги, соли и ультрафиолетовых лучей, что значительно продлевает срок службы якоря. Легкость в установке и надежное закрепление чехла позволяют быстро и удобно подготовить якорь к использованию, предотвращая его механическое повреждение и загрязнение. Этот аксессуар станет незаменимым для владельцев яхт и лодок, гарантируя долговечность и защиту вашего оборудования даже в самых суровых условиях.
Osculati 01.081.10 - Скоба якорная подковообразная с потайным пальцем, внутренний шестигранник 10 мм;Oскулати;Бренд не указан;575 руб.;OS-01.081.10;Скоба якорная подковообразная Osculati 01.081.10 изготовлена из нержавеющей стали AISI 316, что обеспечивает ей высокую прочность и отличную стойкость к коррозии, делая её идеальной для использования в морских условиях. Она предназначена для внутреннего шестигранника диаметром 10 мм и обеспечивает надежное крепление якоря, позволяя ему свободно перемещаться в роликах без запутывания. С размерами ширина 20 мм и длина 46 мм, эта скоба гарантирует долговечность и надежность, предотвращая любые проблемы с запутыванием якоря и обеспечивая его эффективное использование на яхтах и других водных транспортных средствах.
Osculati 01.081.12 - Скоба якорная подковообразная с потайным пальцем, внутренний шестигранник 12 мм;Oскулати;Osculati;1 061 руб.;OS-01.081.12;Скоба якорная подковообразная Osculati 01.081.12 изготовлена из нержавеющей стали AISI 316, что обеспечивает ей исключительную прочность и стойкость к коррозии, идеально подходя для использования в морских условиях. Она предназначена для работы с внутренним шестигранником диаметром 12 мм, что позволяет надежно крепить якорь и обеспечивает его свободное перемещение в роликах без запутывания. С размерами ширина 25 мм и длина 55 мм, эта скоба гарантирует долговечность и надежность, предотвращая любые проблемы с запутыванием якоря и обеспечивая его эффективное использование на яхтах и других водных транспортных средствах.
Osculati 01.080.08 - Скобы соединительные якорные с потайным пальцем, внутренний шестигранник 8 мм (10 шт.);Oскулати;Osculati;3 205 руб.;OS-01.080.08;Скобы соединительные якорные Osculati 01.080.08, изготовленные из нержавеющей стали AISI 316, обеспечивают высокую прочность и стойкость к коррозии, что делает их идеальными для эксплуатации в морских условиях. Эти скобы имеют внутренний шестигранник диаметром 8 мм и предназначены для надежного крепления якоря, позволяя ему легко устанавливать в носовые ролики без риска запутывания. Размеры скоб включают ширину 16 мм, диаметр 16 мм и длину 32 мм, а упаковка содержит 10 штук. Благодаря прочной конструкции и качественным материалам, эти скобы гарантируют долговечность и надежность в эксплуатации, что делает их отличным выбором для яхт и других водных транспортных средств.
